t_bucket,throughput,p99_pods_max_ms,p99_pods_med_ms,viol_rate,lag_skew_ratio,true_p99_ms,true_max_ms,true_viol_rate,hot_part_p99_ms,run_id,label,traffic_mode,skew_fraction,skew_partitions,hot_partition,hot_consumer
240,,,,,,170318.73560905457,171182.46603012085,0.5849056603773585,170733.9906191826,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
270,,,,,,188081.26393318176,188423.11215400696,0.696969696969697,188198.77425909042,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
300,,,,,,208544.61522579193,208788.35940361023,0.717948717948718,208640.83003282547,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
330,,,,,,227012.67727136612,227042.1793460846,0.6818181818181818,227022.96869277954,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
360,,,,,,245511.23797893524,245632.24411010745,0.6274509803921569,245569.3209218979,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
390,,,,,,265399.8259162903,265453.5856246948,0.5675675675675675,265431.18574619293,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
420,,,,,,284451.6056537628,284544.9092388153,0.7804878048780488,284481.9293189049,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
450,,,,,,301689.5198535919,302119.2569732666,0.6875,301881.53005599976,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
480,,,,,,321388.2051730156,322002.79903411865,0.6041666666666666,321675.88740587234,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
510,,,,,,339455.10669231415,339687.3171329498,0.5909090909090909,339563.11154842377,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
540,,,,,,359690.8038139343,359886.75260543823,0.6666666666666666,359782.6548099518,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
570,,,,,,377199.63923454285,377653.2485485077,0.7575757575757576,377313.04156303406,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
600,,,,,,397087.10255622864,397440.2894973755,0.7735849056603774,397202.5675177574,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
630,,,,,,415010.01274108887,415245.8827495575,0.7111111111111111,415101.1443352699,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
660,,,,,,433374.2248988152,433426.6543388367,0.5208333333333334,433399.88185882574,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
690,,,,,,451656.3113284111,451759.996175766,0.7380952380952381,451694.2448091507,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
720,,,,,,472393.3264565468,472556.1168193817,0.6818181818181818,472450.11379241943,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
750,,,,,,490734.2195415497,490915.1394367218,0.7954545454545454,490784.708814621,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
780,,,,,,508766.6243553161,509256.7694187164,0.5283018867924528,509039.9744868278,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
810,,,,,,529048.2385921478,529422.8420257568,0.4883720930232558,529253.3785676956,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
840,,,,,,548499.2626309395,548821.1357593536,0.75,548606.5536737442,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
870,,,,,,566157.0703244209,566261.2433433533,0.6428571428571429,566202.8048205376,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
900,113.883333,31304.434,1677.5,0.6626664715351969,3.511850625,585678.5883426666,585751.9705295563,0.7192982456140351,585703.4858703613,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
930,,,,,,604004.6698975563,604139.0607357025,0.6428571428571429,604079.3314743042,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
960,,,,,,622620.4411411285,622741.6241168976,0.6346153846153846,622675.0922870636,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
990,,,,,,642439.992275238,642693.6440467834,0.7551020408163265,642513.9740419388,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
1020,,,,,,661571.4486002922,661838.0465507507,0.6956521739130435,661684.0121793747,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
